ImageName,OriginalSize(Bytes),CompressedSize(Bytes),bpp 
kodim01,393231,253392,5,155 
kodim02,393231,191664,3,899 
kodim03,393231,162175,3,299 
kodim04,393231,196041,3,988 
kodim05,393231,237385,4,83 
kodim06,393231,218812,4,452 
kodim07,393231,167485,3,407 
kodim08,393231,251889,5,125 
kodim09,393231,189360,3,853 
kodim10,393231,189562,3,857 
kodim11,393231,212514,4,324 
kodim12,393231,182064,3,704 
kodim13,393231,286761,5,834 
kodim14,393231,232669,4,734 
kodim15,393231,179376,3,649 
kodim16,393231,196736,4,003 
kodim17,393231,194038,3,948 
kodim18,393231,241950,4,922 
kodim19,393231,215596,4,386 
kodim20,393231,144106,2,932 
kodim21,393231,218888,4,453 
kodim22,393231,217587,4,427 
kodim23,393231,166312,3,384 
kodim24,393231,214217,4,358 
