Datei;Breite;Hoehe;Pixel;Bytes;BPP
kodim01;768;512;393216;267093;5.434 
kodim02;768;512;393216;202127;4.112 
kodim03;768;512;393216;179159;3.645 
kodim04;512;768;393216;207163;4.215 
kodim05;768;512;393216;267107;5.434 
kodim06;768;512;393216;229532;4.670 
kodim07;768;512;393216;185234;3.769 
kodim08;768;512;393216;263571;5.362 
kodim09;512;768;393216;194659;3.960 
kodim10;512;768;393216;197191;4.012 
kodim11;768;512;393216;221433;4.505 
kodim12;768;512;393216;190515;3.876 
kodim13;768;512;393216;301835;6.141 
kodim14;768;512;393216;246973;5.025 
kodim15;768;512;393216;196404;3.996 
kodim16;768;512;393216;203443;4.139 
kodim17;512;768;393216;206292;4.197 
kodim18;512;768;393216;254618;5.180 
kodim19;512;768;393216;221514;4.507 
kodim20;768;512;393216;158502;3.225 
kodim21;768;512;393216;225705;4.592 
kodim22;768;512;393216;227256;4.624 
kodim23;768;512;393216;175940;3.580 
kodim24;768;512;393216;236989;4.822 
