Datei;Breite;Hoehe;Pixel;Bytes;BPP
kodim01;768;512;393216;273050;5.555 
kodim02;768;512;393216;208929;4.251 
kodim03;768;512;393216;185007;3.764 
kodim04;512;768;393216;216767;4.410 
kodim05;768;512;393216;267683;5.446 
kodim06;768;512;393216;240070;4.884 
kodim07;768;512;393216;191540;3.897 
kodim08;768;512;393216;273609;5.567 
kodim09;512;768;393216;204186;4.154 
kodim10;512;768;393216;205866;4.188 
kodim11;768;512;393216;229154;4.662 
kodim12;768;512;393216;200046;4.070 
kodim13;768;512;393216;306934;6.245 
kodim14;768;512;393216;254554;5.179 
kodim15;768;512;393216;203110;4.132 
kodim16;768;512;393216;213703;4.348 
kodim17;512;768;393216;215438;4.383 
kodim18;512;768;393216;262717;5.345 
kodim19;512;768;393216;229837;4.676 
kodim20;768;512;393216;172509;3.510 
kodim21;768;512;393216;233845;4.758 
kodim22;768;512;393216;237147;4.825 
kodim23;768;512;393216;185307;3.770 
kodim24;768;512;393216;241797;4.919 
