Datei;Breite;Hoehe;Pixel;Bytes;BPP
kodim01;768;512;393216;511314;10.403 
kodim02;768;512;393216;270198;5.497 
kodim03;768;512;393216;232786;4.736 
kodim04;512;768;393216;288368;5.867 
kodim05;768;512;393216;543982;11.067 
kodim06;768;512;393216;401182;8.162 
kodim07;768;512;393216;249671;5.080 
kodim08;768;512;393216;512151;10.420 
kodim09;512;768;393216;258580;5.261 
kodim10;512;768;393216;262003;5.330 
kodim11;768;512;393216;355353;7.230 
kodim12;768;512;393216;246563;5.016 
kodim13;768;512;393216;758007;15.422 
kodim14;768;512;393216;419978;8.544 
kodim15;768;512;393216;277358;5.643 
kodim16;768;512;393216;288889;5.877 
kodim17;512;768;393216;300407;6.112 
kodim18;512;768;393216;473683;9.637 
kodim19;512;768;393216;342107;6.960 
kodim20;768;512;393216;256284;5.214 
kodim21;768;512;393216;390678;7.948 
kodim22;768;512;393216;353803;7.198 
kodim23;768;512;393216;222205;4.521 
kodim24;768;512;393216;457986;9.318 
