Datei;Breite;Hoehe;Pixel;Bytes;BPP
kodim01;768;512;393216;266566;5.423 
kodim02;768;512;393216;204275;4.156 
kodim03;768;512;393216;182061;3.704 
kodim04;512;768;393216;210837;4.289 
kodim05;768;512;393216;267600;5.444 
kodim06;768;512;393216;232467;4.730 
kodim07;768;512;393216;187567;3.816 
kodim08;768;512;393216;264043;5.372 
kodim09;512;768;393216;202611;4.122 
kodim10;512;768;393216;203599;4.142 
kodim11;768;512;393216;223809;4.553 
kodim12;768;512;393216;193355;3.934 
kodim13;768;512;393216;305537;6.216 
kodim14;768;512;393216;249019;5.066 
kodim15;768;512;393216;197653;4.021 
kodim16;768;512;393216;207805;4.228 
kodim17;512;768;393216;209978;4.272 
kodim18;512;768;393216;258956;5.268 
kodim19;512;768;393216;227302;4.624 
kodim20;768;512;393216;159119;3.237 
kodim21;768;512;393216;231768;4.715 
kodim22;768;512;393216;229774;4.675 
kodim23;768;512;393216;180812;3.679 
kodim24;768;512;393216;234882;4.779 
