Datei;Breite;Hoehe;Pixel;Bytes;BPP
kodim01;768;512;393216;281499;5.727 
kodim02;768;512;393216;204932;4.169 
kodim03;768;512;393216;183249;3.728 
kodim04;512;768;393216;214005;4.354 
kodim05;768;512;393216;273580;5.566 
kodim06;768;512;393216;242135;4.926 
kodim07;768;512;393216;204977;4.170 
kodim08;768;512;393216;295620;6.014 
kodim09;512;768;393216;208817;4.248 
kodim10;512;768;393216;212676;4.327 
kodim11;768;512;393216;233896;4.759 
kodim12;768;512;393216;199823;4.065 
kodim13;768;512;393216;304674;6.199 
kodim14;768;512;393216;253430;5.156 
kodim15;768;512;393216;200299;4.075 
kodim16;768;512;393216;215264;4.380 
kodim17;512;768;393216;213119;4.336 
kodim18;512;768;393216;258672;5.263 
kodim19;512;768;393216;235688;4.795 
kodim20;768;512;393216;157572;3.206 
kodim21;768;512;393216;232679;4.734 
kodim22;768;512;393216;233711;4.755 
kodim23;768;512;393216;180422;3.671 
kodim24;768;512;393216;245517;4.995 
